Query1,4,40,-0.30000000000000004
Query2,1,10,1
Query3,3,30,-4.25
Query4,5,50,-1.65
Query5,0,0,0
Query6,0,0,0
Query7,2,20,-4.0
Query8,2,20,1.0
Query9,2,20,-24.0
Query10,0,0,0
Query11,3,30,-0.25
Query12,1,10,1
Query13,1,10,1
Query14,1,10,1
Query15,1,10,1
Query16,0,0,0
Query17,1,10,1
Query18,0,0,0
Query19,1,10,1
Query20,3,30,-9.25
Query21,0,0,0
Query22,1,10,1
Query23,2,20,-4.0
Query24,1,10,1
Query25,4,40,-2.8
Query26,3,30,-9.75
Query27,0,0,0
Query28,1,10,1
Query29,1,10,1
Query30,2,20,-9.0
Query31,1,10,1
Query32,0,0,0
Query33,1,10,1
Query34,3,30,-5.5
Query35,1,10,1
Query36,1,10,1
Query37,0,0,0
Query38,3,30,-15.5
Query39,2,20,-9.0
Query40,1,10,1
Query41,6,60,-0.5428571428571429
Query42,1,10,1
Query43,4,40,-8.0
Query44,1,10,1
Query45,0,0,0
Query46,3,30,-18.0
Query47,2,20,-15.0
Query48,0,0,0
Query49,2,20,-35.0
Query50,3,30,-13.0
Query51,3,30,-1.75
Query52,3,30,-8.5
Query53,0,0,0
Query54,1,10,1
Query55,0,0,0
Query56,1,10,1
Query57,0,0,0
Query58,0,0,0
Query59,0,0,0
Query60,1,10,1
Query61,1,10,1
Query62,5,50,-1.5
Query63,4,40,-4.9
Query64,1,10,1
Query65,0,0,0
Query66,4,40,0.4
Query67,0,0,0
Query68,1,10,1
Query69,0,0,0
Query70,0,0,0
Query71,1,10,1
Query72,0,0,0
Query73,0,0,0
Query74,0,0,0
Query75,3,30,-10.5
Query76,0,0,0
Query77,2,20,-9.0
Query78,3,30,-13.0
Query79,4,40,-3.2
Query80,1,10,1
Query81,2,20,-3.0
Query82,0,0,0
Query83,1,10,1
Query84,1,10,1
Query85,1,10,1
Query86,1,10,1
Query87,3,30,-8.5
Query88,1,10,1
Query89,2,20,-4.0
Query90,1,10,1
Query91,0,0,0
Query92,0,0,0
Query93,2,20,0.0
Query94,4,40,-8.9
Query95,3,30,-9.0
Query96,0,0,0
Query97,0,0,0
Query98,1,10,1
Query99,1,10,1
Query100,0,0,0
Averages,1.44,14.4,-2.3914285714285715
